Date,Open,High,Low,Close
2018-01-04,1.32027,1.32342,1.31912,1.32036
2018-01-05,1.3203,1.32613,1.32006,1.32283
2018-01-08,1.32337,1.32694,1.32166,1.3262
2018-01-09,1.3262,1.33208,1.32572,1.33167
2018-01-10,1.33166,1.33207,1.3189,1.32147
2018-01-11,1.32147,1.32379,1.31741,1.32043
2018-01-12,1.32046,1.33097,1.31981,1.32966
2018-01-15,1.32905,1.33089,1.32388,1.32892
2018-01-16,1.32892,1.33048,1.32208,1.32345
2018-01-17,1.32347,1.33639,1.32298,1.33476
2018-01-18,1.33494,1.33494,1.32909,1.33209
2018-01-19,1.33208,1.33526,1.32828,1.33521
2018-01-22,1.33567,1.34638,1.33337,1.34515
2018-01-23,1.34515,1.34613,1.33895,1.34119
2018-01-24,1.34089,1.34842,1.33805,1.34681
2018-01-25,1.34682,1.34922,1.32883,1.33093
2018-01-26,1.33042,1.33541,1.32057,1.32081
2018-01-29,1.32186,1.32572,1.31466,1.31969
2018-01-30,1.31962,1.32334,1.31077,1.32277
2018-01-31,1.32277,1.32439,1.31616,1.32278
2018-02-01,1.32275,1.33002,1.31984,1.32134
2018-02-02,1.32131,1.32343,1.31466,1.3149
2018-02-05,1.31428,1.31449,1.29879,1.30163
2018-02-06,1.30153,1.31045,1.29816,1.30642
2018-02-07,1.30631,1.31289,1.30266,1.30885
2018-02-08,1.30887,1.32359,1.30061,1.30269
2018-02-09,1.30273,1.31253,1.29146,1.2997
2018-02-12,1.29987,1.30215,1.29478,1.30029
2018-02-13,1.29975,1.30135,1.29377,1.29916
2018-02-14,1.29962,1.30299,1.29242,1.30158
2018-02-15,1.30105,1.30383,1.29673,1.30008
2018-02-16,1.29997,1.30173,1.29639,1.29994
2018-02-19,1.3012,1.30276,1.29848,1.30028
2018-02-20,1.30028,1.31221,1.29934,1.31067
2018-02-21,1.31069,1.31199,1.30361,1.30674
2018-02-22,1.3065,1.30707,1.29945,1.30184
2018-02-23,1.30196,1.31014,1.30081,1.30813
2018-02-26,1.30926,1.31439,1.30695,1.31013
2018-02-27,1.31034,1.31093,1.30396,1.30613
2018-02-28,1.30605,1.31168,1.29809,1.29938
2018-03-01,1.29932,1.30509,1.29646,1.29704
2018-03-02,1.29749,1.29796,1.28637,1.29238
2018-03-05,1.29219,1.30389,1.29,1.30137
2018-03-06,1.30147,1.30707,1.29941,1.30246
2018-03-07,1.30272,1.31234,1.29826,1.31153
2018-03-08,1.31153,1.31485,1.30881,1.3136
2018-03-09,1.31368,1.3191,1.3113,1.31711
2018-03-12,1.31769,1.32028,1.31541,1.31779
2018-03-13,1.31779,1.32083,1.31504,1.3183
2018-03-14,1.31826,1.32405,1.31725,1.3195
2018-03-15,1.31954,1.32686,1.31653,1.32604
2018-03-16,1.326,1.32909,1.32344,1.32781
2018-03-19,1.32849,1.34094,1.32657,1.33445
2018-03-20,1.33445,1.33942,1.3334,1.3385
2018-03-21,1.33849,1.34595,1.3366,1.34156
2018-03-22,1.34158,1.34619,1.33434,1.3372
2018-03-23,1.3372,1.34356,1.3334,1.33898
2018-03-26,1.33891,1.34697,1.33842,1.34482
2018-03-27,1.34484,1.34604,1.33605,1.34054
2018-03-28,1.34014,1.34863,1.33998,1.34701
2018-03-29,1.34739,1.34796,1.3406,1.34203
2018-03-30,1.34203,1.34224,1.33611,1.3385
2018-04-02,1.33823,1.34255,1.33814,1.342
2018-04-03,1.34195,1.34954,1.34139,1.34839
2018-04-04,1.34835,1.35333,1.3441,1.35318
2018-04-05,1.35323,1.35383,1.34607,1.34892
2018-04-06,1.34896,1.35417,1.34603,1.35074
2018-04-09,1.35108,1.35532,1.35078,1.35108
2018-04-10,1.35131,1.35723,1.35085,1.35676
2018-04-11,1.35675,1.36419,1.35599,1.35803
2018-04-12,1.35801,1.37133,1.35772,1.37045
2018-04-13,1.37014,1.3744,1.36904,1.37051
2018-04-16,1.37089,1.3767,1.36969,1.37606
2018-04-17,1.37606,1.38371,1.37589,1.38089
2018-04-18,1.38087,1.38563,1.37257,1.37599
2018-04-19,1.37599,1.38077,1.36734,1.36805
2018-04-20,1.36852,1.37171,1.36321,1.3668
2018-04-23,1.36578,1.36866,1.36032,1.3636
2018-04-24,1.3636,1.3707,1.3616,1.36849
2018-04-25,1.36852,1.37211,1.3682,1.37024
2018-04-26,1.37033,1.37821,1.3684,1.37698
2018-04-27,1.37699,1.3792,1.36092,1.3612
2018-04-30,1.36101,1.36525,1.35678,1.36422
2018-05-01,1.36414,1.36508,1.35342,1.35681
2018-05-02,1.35681,1.36084,1.35276,1.35579
2018-05-03,1.35589,1.35808,1.35272,1.35436
2018-05-04,1.35437,1.35767,1.35153,1.35437
2018-05-07,1.35411,1.3617,1.35342,1.35978
2018-05-08,1.35978,1.36188,1.35223,1.35707
2018-05-09,1.35704,1.36407,1.35445,1.36176
2018-05-10,1.36168,1.3649,1.35117,1.35561
2018-05-11,1.35599,1.35774,1.35357,1.35546
2018-05-14,1.35451,1.35853,1.35374,1.35625
2018-05-15,1.35628,1.35745,1.34974,1.35171
2018-05-16,1.35213,1.35293,1.34624,1.35262
2018-05-17,1.35283,1.35705,1.35015,1.35358
2018-05-18,1.35361,1.35398,1.34195,1.34494
2018-05-21,1.34405,1.34552,1.33778,1.33902
2018-05-22,1.33944,1.3434,1.33129,1.33354
2018-05-23,1.33352,1.33371,1.31793,1.32878
2018-05-24,1.32878,1.33173,1.32348,1.32658
2018-05-25,1.32662,1.32789,1.31854,1.31949
2018-05-28,1.32132,1.32499,1.31966,1.32262
2018-05-29,1.32262,1.3234,1.30523,1.31377
2018-05-30,1.31373,1.31843,1.31028,1.3143
2018-05-31,1.3143,1.31773,1.30614,1.3101
2018-06-01,1.30983,1.32062,1.30864,1.31975
2018-06-04,1.32,1.32268,1.31221,1.31568
2018-06-05,1.31568,1.32048,1.31465,1.3194
2018-06-06,1.31931,1.32699,1.31896,1.32325
2018-06-07,1.3232,1.32431,1.31275,1.31522
2018-06-08,1.31521,1.32291,1.31463,1.32073
2018-06-11,1.3205,1.32574,1.31705,1.31859
2018-06-12,1.31856,1.32125,1.31416,1.32026
2018-06-13,1.32028,1.32058,1.31477,1.31777
2018-06-14,1.31785,1.3261,1.31694,1.32183
2018-06-15,1.32182,1.32702,1.31914,1.32354
2018-06-18,1.32477,1.32477,1.31606,1.3188
2018-06-19,1.3188,1.31902,1.3081,1.31031
2018-06-20,1.31007,1.3163,1.30876,1.31227
2018-06-21,1.31227,1.3172,1.30656,1.31304
2018-06-22,1.31304,1.31784,1.30866,1.3101
2018-06-25,1.31123,1.31214,1.30599,1.31096
2018-06-26,1.31165,1.31295,1.30683,1.31048
2018-06-27,1.31048,1.31141,1.30614,1.30751
2018-06-28,1.30754,1.30827,1.30318,1.30396
2018-06-29,1.30464,1.31186,1.30248,1.30682
2018-07-02,1.30811,1.3085,1.30358,1.3059
2018-07-03,1.3059,1.31105,1.30455,1.30921
2018-07-04,1.3092,1.31493,1.30791,1.31391
2018-07-05,1.314,1.317,1.31106,1.31331
2018-07-06,1.3135,1.31555,1.31146,1.31534
2018-07-09,1.31812,1.32018,1.30896,1.31477
2018-07-10,1.31485,1.32038,1.31253,1.31708
2018-07-11,1.31708,1.3184,1.31409,1.31495
2018-07-12,1.31494,1.32571,1.3137,1.32378
2018-07-13,1.32346,1.32648,1.31606,1.32579
2018-07-16,1.32461,1.32665,1.31862,1.32009
2018-07-17,1.3201,1.3201,1.30716,1.31164
2018-07-18,1.31163,1.314,1.30138,1.30606
2018-07-19,1.30606,1.30675,1.29875,1.30066
2018-07-20,1.30058,1.30493,1.29866,1.30307
2018-07-23,1.3029,1.30374,1.2994,1.30062
2018-07-24,1.30061,1.3074,1.30038,1.30604
2018-07-25,1.306,1.30875,1.30339,1.30856
2018-07-26,1.30804,1.31045,1.3025,1.30319
2018-07-27,1.30321,1.30698,1.30216,1.30356
2018-07-30,1.30354,1.30587,1.2976,1.29786
2018-07-31,1.29793,1.30076,1.29499,1.29886
2018-08-01,1.29887,1.30308,1.29887,1.30205
2018-08-02,1.30213,1.30376,1.29388,1.29617
2018-08-03,1.29605,1.29678,1.29145,1.29283
2018-08-06,1.29315,1.29431,1.28889,1.28968
2018-08-07,1.28957,1.29137,1.28697,1.28869
2018-08-08,1.28869,1.28884,1.27825,1.27924
2018-08-09,1.27924,1.28146,1.2731,1.27422
2018-08-10,1.27422,1.27691,1.26473,1.27071
2018-08-13,1.26854,1.27101,1.26593,1.26754
2018-08-14,1.26753,1.27238,1.2629,1.26449
2018-08-15,1.26445,1.26984,1.25933,1.26163
2018-08-16,1.2617,1.26846,1.26056,1.26767
2018-08-17,1.26769,1.27016,1.26517,1.26912
2018-08-20,1.26903,1.27124,1.26669,1.26848
2018-08-21,1.26848,1.27249,1.26569,1.27086
2018-08-22,1.27082,1.27133,1.26587,1.26968
2018-08-23,1.26976,1.26976,1.26255,1.26317
2018-08-24,1.26357,1.26519,1.26114,1.26309
2018-08-27,1.26339,1.26557,1.26209,1.26339
2018-08-28,1.26343,1.26361,1.25554,1.25664
2018-08-29,1.25665,1.26663,1.25122,1.26481
2018-08-30,1.26486,1.26638,1.25985,1.26105
2018-08-31,1.26104,1.26141,1.25446,1.25632
2018-09-03,1.25266,1.25428,1.24701,1.24738
2018-09-04,1.24741,1.25407,1.2465,1.25234
2018-09-05,1.25232,1.26245,1.24599,1.25401
2018-09-06,1.25404,1.25567,1.24743,1.24811
2018-09-07,1.24817,1.25766,1.24716,1.25174
2018-09-10,1.25235,1.27122,1.25151,1.27013
2018-09-11,1.26941,1.27431,1.26323,1.26639
2018-09-12,1.26634,1.27042,1.263,1.26592
2018-09-13,1.26587,1.26896,1.26289,1.26598
2018-09-14,1.26574,1.26767,1.26216,1.26348
2018-09-17,1.26484,1.26699,1.26244,1.2662
2018-09-18,1.26613,1.2688,1.26073,1.26809
2018-09-19,1.26814,1.27743,1.26735,1.27145
2018-09-20,1.27132,1.2791,1.2705,1.27276
2018-09-21,1.27257,1.27288,1.2504,1.25404
2018-09-24,1.25359,1.26608,1.25282,1.26552
2018-09-25,1.26552,1.27286,1.26458,1.27206
2018-09-26,1.27211,1.27795,1.26886,1.27102
2018-09-27,1.27095,1.28177,1.26913,1.27838
2018-09-28,1.27799,1.27957,1.26985,1.27932
2018-10-01,1.2781,1.28711,1.27769,1.28279
2018-10-02,1.28273,1.28375,1.27383,1.27764
2018-10-03,1.27768,1.28837,1.27681,1.28289
2018-10-04,1.28289,1.29303,1.28193,1.29146
2018-10-05,1.29125,1.30101,1.29087,1.30072
2018-10-08,1.30163,1.30238,1.29377,1.29929
2018-10-09,1.29946,1.30527,1.29601,1.30371
2018-10-10,1.30367,1.31098,1.3033,1.30573
2018-10-11,1.30572,1.31054,1.30311,1.30988
2018-10-12,1.30989,1.31156,1.30294,1.30394
2018-10-15,1.29846,1.30043,1.29467,1.29853
2018-10-16,1.29851,1.30864,1.29814,1.30603
2018-10-17,1.30598,1.30705,1.3005,1.30412
2018-10-18,1.30421,1.30664,1.29578,1.29643
2018-10-19,1.29643,1.3053,1.29611,1.30271
2018-10-22,1.30071,1.30354,1.29081,1.29172
2018-10-23,1.29184,1.29818,1.28949,1.29202
2018-10-24,1.29181,1.2926,1.28392,1.28493
2018-10-25,1.28506,1.29012,1.28009,1.28172
2018-10-26,1.28179,1.28332,1.27856,1.27971
2018-10-29,1.27986,1.28473,1.27982,1.2823
2018-10-30,1.28231,1.28386,1.27564,1.27734
2018-10-31,1.27732,1.28831,1.27681,1.2877
2018-11-01,1.28766,1.30503,1.28701,1.30285
2018-11-02,1.30284,1.30449,1.29693,1.30149
2018-11-05,1.30494,1.3124,1.30333,1.31175
2018-11-06,1.31173,1.31455,1.30844,1.31347
2018-11-07,1.3134,1.31652,1.30837,1.31559
2018-11-08,1.3156,1.31691,1.31196,1.31447
2018-11-09,1.31403,1.31502,1.30353,1.30383
2018-11-12,1.30031,1.30525,1.29545,1.29913
2018-11-13,1.29904,1.31527,1.2982,1.31238
2018-11-14,1.31238,1.31285,1.29769,1.30753
2018-11-15,1.30758,1.30977,1.28123,1.28562
2018-11-16,1.28567,1.29472,1.28143,1.28257
2018-11-19,1.28343,1.28683,1.27465,1.27815
2018-11-20,1.27792,1.27885,1.27141,1.27259
2018-11-21,1.27256,1.27515,1.26965,1.27015
2018-11-22,1.26998,1.28339,1.26988,1.28041
2018-11-23,1.28041,1.28143,1.27632,1.2783
2018-11-26,1.27849,1.28319,1.27713,1.27921
2018-11-27,1.27923,1.27978,1.27105,1.27202
2018-11-28,1.27206,1.27922,1.27191,1.27425
2018-11-29,1.2743,1.27539,1.26807,1.27309
2018-11-30,1.27311,1.27694,1.2699,1.27327
2018-12-03,1.2731,1.27848,1.26759,1.27
2018-12-04,1.27001,1.27572,1.2648,1.26852
2018-12-05,1.26853,1.27624,1.26743,1.27017
2018-12-06,1.27017,1.27192,1.26519,1.26898
2018-12-07,1.26907,1.26965,1.2595,1.26062
2018-12-10,1.25965,1.26091,1.23807,1.24412
2018-12-11,1.24406,1.24839,1.23952,1.24054
2018-12-12,1.24054,1.25719,1.24,1.25493
2018-12-13,1.25501,1.25923,1.2532,1.25781
2018-12-14,1.258,1.25863,1.25015,1.25539
2018-12-17,1.25597,1.25688,1.25035,1.2529
2018-12-18,1.25286,1.25874,1.25173,1.25513
2018-12-19,1.25512,1.25778,1.25231,1.25468
2018-12-20,1.25476,1.25778,1.24868,1.2499
2018-12-21,1.24985,1.25812,1.24852,1.25664
2018-12-24,1.2572,1.26041,1.25362,1.25682
2018-12-26,1.25051,1.26049,1.25017,1.25839
2018-12-27,1.2583,1.25837,1.24503,1.24948
2018-12-28,1.24952,1.25166,1.24128,1.249
2018-12-31,1.24998,1.26339,1.248,1.25234
2019-01-02,1.25125,1.25417,1.23087,1.23411
2019-01-03,1.23332,1.25096,1.23307,1.24705
2019-01-04,1.24703,1.25726,1.24547,1.25644
2019-01-07,1.25609,1.25687,1.25055,1.25263
2019-01-08,1.25253,1.25488,1.24668,1.24831
2019-01-09,1.24832,1.25243,1.24406,1.24668
2019-01-10,1.24659,1.25576,1.24191,1.25466
2019-01-11,1.25466,1.26517,1.24817,1.26394
2019-01-14,1.26479,1.2681,1.25943,1.2621
2019-01-15,1.26224,1.27278,1.2533,1.2711
2019-01-16,1.27101,1.27691,1.26704,1.27478
2019-01-17,1.27482,1.29184,1.27306,1.29052
2019-01-18,1.29052,1.29139,1.28019,1.28123
2019-01-21,1.28079,1.288,1.27821,1.28636
2019-01-22,1.28648,1.29322,1.28251,1.29243
2019-01-23,1.29238,1.3033,1.29084,1.30122
2019-01-24,1.30112,1.30274,1.295,1.3025
2019-01-25,1.30237,1.31182,1.30091,1.31172
2019-01-28,1.31213,1.31213,1.30334,1.30407
2019-01-29,1.30418,1.31167,1.29909,1.30113
2019-01-30,1.30112,1.30768,1.29939,1.3037
2019-01-31,1.30376,1.30705,1.30116,1.30366
2019-02-01,1.30357,1.30533,1.29494,1.30198
2019-02-04,1.30217,1.30794,1.30024,1.30122
2019-02-05,1.30122,1.30493,1.29303,1.29549
2019-02-06,1.29549,1.29849,1.29377,1.2962
2019-02-07,1.29617,1.30058,1.28891,1.29845
2019-02-08,1.29846,1.29947,1.29273,1.29353
2019-02-11,1.29232,1.29693,1.28981,1.29143
2019-02-12,1.2916,1.3004,1.29093,1.29723
2019-02-13,1.29722,1.3015,1.29495,1.29678
2019-02-14,1.29678,1.2981,1.28546,1.2865
2019-02-15,1.2865,1.29625,1.28588,1.2956
2019-02-18,1.29666,1.29885,1.29482,1.29815
2019-02-19,1.29856,1.30868,1.29631,1.30749
2019-02-20,1.30749,1.30887,1.30269,1.30555
2019-02-21,1.30595,1.31012,1.30411,1.30497
2019-02-22,1.3048,1.30702,1.29991,1.30563
2019-02-25,1.30629,1.31526,1.30449,1.31271
2019-02-26,1.31271,1.32819,1.31221,1.32558
2019-02-27,1.32545,1.33315,1.32331,1.33218
2019-02-28,1.33217,1.33296,1.32,1.32317
2019-03-01,1.32307,1.32637,1.31679,1.31929
2019-03-04,1.32105,1.32709,1.3157,1.31678
2019-03-05,1.31673,1.32398,1.31137,1.32097
2019-03-06,1.32063,1.32463,1.31849,1.32371
2019-03-07,1.32367,1.32812,1.31769,1.32277
2019-03-08,1.32264,1.32436,1.30854,1.31191
2019-03-11,1.30882,1.34248,1.30628,1.33695
2019-03-12,1.33665,1.33947,1.31176,1.31765
2019-03-13,1.31764,1.34178,1.3161,1.335
2019-03-14,1.33502,1.33789,1.32588,1.32972
2019-03-15,1.32976,1.33424,1.32353,1.33192
2019-03-18,1.33165,1.33325,1.32075,1.32625
2019-03-19,1.3263,1.33048,1.32411,1.32544
2019-03-20,1.3253,1.32592,1.30698,1.30808
2019-03-21,1.3081,1.31168,1.29167,1.30158
2019-03-22,1.30151,1.31438,1.3011,1.31262
2019-03-25,1.31291,1.31508,1.30624,1.3106
2019-03-26,1.31061,1.31796,1.30668,1.3126
2019-03-27,1.3126,1.32041,1.30813,1.30826
2019-03-28,1.30827,1.31356,1.29758,1.29884
2019-03-29,1.29877,1.30751,1.29229,1.29715
2019-04-01,1.29731,1.31302,1.29532,1.30436
2019-04-02,1.30436,1.3126,1.30058,1.31019
2019-04-03,1.31046,1.31749,1.30764,1.31218
2019-04-04,1.31255,1.31676,1.30575,1.30668
2019-04-05,1.30668,1.31196,1.29918,1.30334
2019-04-08,1.30389,1.30645,1.30083,1.30564
2019-04-09,1.30554,1.31001,1.30266,1.30552
2019-04-10,1.30513,1.31487,1.30466,1.31183
2019-04-11,1.31184,1.31393,1.30781,1.30933
2019-04-12,1.30933,1.31303,1.30789,1.31145
2019-04-15,1.31058,1.31626,1.3096,1.31516
2019-04-16,1.31513,1.31736,1.31245,1.31474
2019-04-17,1.31465,1.31835,1.31286,1.31762
2019-04-18,1.31751,1.32044,1.31452,1.31922
2019-04-22,1.31742,1.31916,1.31723,1.31828
2019-04-23,1.31843,1.32741,1.31801,1.31971
2019-04-24,1.31949,1.32084,1.31582,1.31683
2019-04-25,1.31683,1.31832,1.31358,1.31561
2019-04-26,1.31561,1.31934,1.31491,1.31674
2019-04-29,1.31699,1.32021,1.31663,1.31835
2019-04-30,1.31826,1.33035,1.31771,1.32873
2019-05-01,1.32863,1.33033,1.32585,1.32859
2019-05-02,1.32857,1.33274,1.32636,1.32837
2019-05-03,1.32836,1.34017,1.3257,1.33893
2019-05-06,1.33794,1.33849,1.33151,1.33274
2019-05-07,1.33307,1.3354,1.33093,1.33244
2019-05-08,1.33239,1.33313,1.32259,1.32791
2019-05-09,1.3279,1.32907,1.31712,1.32051
2019-05-10,1.32071,1.32213,1.31578,1.31598
2019-05-13,1.31432,1.31576,1.30162,1.30378
2019-05-14,1.30385,1.3066,1.301,1.30182
2019-05-15,1.30184,1.30298,1.29329,1.2951
2019-05-16,1.29507,1.29626,1.29127,1.29211
2019-05-17,1.29215,1.29268,1.28547,1.28559
2019-05-20,1.2872,1.28894,1.28198,1.28352
2019-05-21,1.28351,1.29326,1.28126,1.28507
2019-05-22,1.28506,1.28644,1.2733,1.27823
2019-05-23,1.27825,1.27847,1.26868,1.27034
2019-05-24,1.27009,1.27531,1.2681,1.27305
2019-05-27,1.27437,1.27964,1.27222,1.27283
2019-05-28,1.27297,1.27926,1.27042,1.27491
2019-05-29,1.2749,1.27627,1.26933,1.27283
2019-05-30,1.2728,1.27574,1.26869,1.27073
2019-05-31,1.27062,1.27088,1.26265,1.26576
2019-06-03,1.26526,1.26551,1.25595,1.25665
2019-06-04,1.25665,1.26265,1.25591,1.26018
2019-06-05,1.26016,1.26308,1.2557,1.26185
2019-06-06,1.26163,1.26548,1.25629,1.25841
2019-06-07,1.25846,1.26556,1.25644,1.25732
2019-06-10,1.25926,1.26079,1.25419,1.25518
2019-06-11,1.25518,1.26346,1.2546,1.26262
2019-06-12,1.2626,1.26768,1.26033,1.26297
2019-06-13,1.26301,1.26358,1.25731,1.26012
2019-06-14,1.26022,1.26045,1.25687,1.25695
2019-06-17,1.25684,1.25892,1.2519,1.252
2019-06-18,1.25211,1.25672,1.24871,1.25594
2019-06-19,1.25595,1.25885,1.25335,1.25602
2019-06-20,1.256,1.25772,1.24331,1.24694
2019-06-21,1.24688,1.24931,1.24127,1.24491
2019-06-24,1.24338,1.24738,1.23613,1.23761
2019-06-25,1.23764,1.24591,1.23607,1.2376
2019-06-26,1.23766,1.2427,1.23485,1.2413
2019-06-27,1.24088,1.24464,1.23595,1.23731
2019-06-28,1.23731,1.24297,1.23404,1.23973
2019-07-01,1.24244,1.24905,1.24054,1.24826
2019-07-02,1.24824,1.24973,1.24046,1.24213
2019-07-03,1.24213,1.24243,1.23716,1.24083
2019-07-04,1.2405,1.24153,1.23837,1.23889
2019-07-05,1.23876,1.24306,1.23784,1.24224
2019-07-08,1.2421,1.2445,1.23965,1.24406
2019-07-09,1.2439,1.24516,1.23623,1.23831
2019-07-10,1.23828,1.23926,1.23492,1.23784
2019-07-11,1.2375,1.24117,1.23436,1.24024
2019-07-12,1.24017,1.24151,1.23443,1.23739
2019-07-15,1.23799,1.23851,1.23069,1.23189
2019-07-16,1.23182,1.23325,1.224,1.22591
2019-07-17,1.22552,1.22977,1.22384,1.22732
2019-07-18,1.22693,1.23445,1.22483,1.23123
2019-07-19,1.23123,1.23377,1.22719,1.22782
2019-07-22,1.22862,1.23051,1.22287,1.22534
2019-07-23,1.22529,1.22754,1.22253,1.22522
2019-07-24,1.22535,1.23347,1.22489,1.22911
2019-07-25,1.22916,1.23688,1.22826,1.23394
2019-07-26,1.23396,1.23456,1.22992,1.23115
2019-07-29,1.22969,1.23023,1.21087,1.21168
2019-07-30,1.21171,1.2125,1.20191,1.20338
2019-07-31,1.20323,1.21254,1.20275,1.20799
2019-08-01,1.20803,1.20957,1.19933,1.20041
2019-08-02,1.20053,1.20148,1.19042,1.19368
2019-08-05,1.19432,1.1947,1.18027,1.18042
2019-08-06,1.18042,1.19504,1.17948,1.188
2019-08-07,1.18772,1.19033,1.1789,1.18391
2019-08-08,1.18374,1.18747,1.1811,1.18251
2019-08-09,1.18246,1.18357,1.16963,1.16994
2019-08-12,1.17131,1.17684,1.16768,1.17071
2019-08-13,1.17076,1.17996,1.16757,1.17768
2019-08-14,1.17769,1.17811,1.17147,1.17358
2019-08-15,1.17358,1.18525,1.17311,1.18032
2019-08-16,1.18014,1.19409,1.17975,1.18847
2019-08-19,1.18879,1.19263,1.18479,1.19024
2019-08-20,1.19024,1.19337,1.18193,1.19022
2019-08-21,1.19015,1.1925,1.18719,1.19135
2019-08-22,1.19128,1.20668,1.18871,1.20493
2019-08-23,1.20557,1.20757,1.19454,1.19698
2019-08-26,1.19365,1.20157,1.19188,1.19684
2019-08-27,1.19709,1.20905,1.19443,1.20595
2019-08-28,1.20604,1.20684,1.19354,1.19897
2019-08-29,1.19897,1.20373,1.19506,1.20183
2019-08-30,1.20178,1.20791,1.20124,1.20417
2019-09-02,1.20246,1.2061,1.19294,1.19554
2019-09-03,1.1956,1.19664,1.18525,1.19304
2019-09-04,1.19304,1.20292,1.19252,1.20153
2019-09-05,1.20163,1.21772,1.20022,1.21561
2019-09-06,1.21568,1.22034,1.21262,1.21456
2019-09-09,1.21249,1.22717,1.21093,1.22438
2019-09-10,1.22446,1.22804,1.21975,1.22548
2019-09-11,1.22551,1.22902,1.22285,1.22426
2019-09-12,1.22471,1.22598,1.21939,1.22183
2019-09-13,1.22189,1.23734,1.22001,1.23697
2019-09-16,1.23427,1.2366,1.2302,1.23407
2019-09-17,1.23407,1.24307,1.23044,1.24151
2019-09-18,1.24156,1.2478,1.23788,1.24311
2019-09-19,1.24312,1.24575,1.23309,1.24359
2019-09-20,1.244,1.24725,1.23595,1.23606
2019-09-23,1.23577,1.23847,1.22892,1.23064
2019-09-24,1.23056,1.23629,1.22943,1.23151
2019-09-25,1.23153,1.23173,1.22033,1.22504
2019-09-26,1.22514,1.22786,1.22298,1.22487
2019-09-27,1.22488,1.22663,1.21686,1.21817
2019-09-30,1.21823,1.23158,1.21744,1.22668
2019-10-01,1.2265,1.23264,1.2157,1.2211
2019-10-02,1.22088,1.23195,1.21919,1.22636
2019-10-03,1.22601,1.24032,1.22517,1.23232
2019-10-04,1.2323,1.23537,1.22197,1.22723
2019-10-07,1.22642,1.22788,1.22163,1.22255
2019-10-08,1.22257,1.22428,1.2093,1.21345
2019-10-09,1.21369,1.21996,1.21239,1.21552
2019-10-10,1.21562,1.24276,1.21193,1.23939
2019-10-11,1.23936,1.26726,1.23784,1.26273
2019-10-14,1.25963,1.26204,1.24756,1.25927
2019-10-15,1.25929,1.27796,1.2565,1.27419
2019-10-16,1.27492,1.28258,1.26202,1.27543
2019-10-17,1.27542,1.28913,1.2625,1.27351
2019-10-18,1.27342,1.2774,1.26746,1.27472
2019-10-21,1.27272,1.28204,1.26806,1.27852
2019-10-22,1.27844,1.28503,1.27229,1.2735
2019-10-23,1.27362,1.28018,1.27033,1.2792
2019-10-24,1.27918,1.28256,1.26928,1.2745
2019-10-25,1.27478,1.27654,1.27081,1.27536
2019-10-28,1.27609,1.28199,1.27505,1.27884
2019-10-29,1.27881,1.2828,1.27464,1.27902
2019-10-30,1.27894,1.28136,1.27486,1.27636
2019-10-31,1.27635,1.28015,1.27502,1.27621
2019-11-01,1.27615,1.281,1.27451,1.27532
2019-11-04,1.27506,1.27768,1.27205,1.27283
2019-11-05,1.27268,1.28042,1.27253,1.27852
2019-11-06,1.27841,1.28034,1.27468,1.27594
2019-11-07,1.27597,1.27874,1.27058,1.275
2019-11-08,1.27498,1.27784,1.27351,1.27541
2019-11-11,1.2759,1.28193,1.27377,1.27693
2019-11-12,1.27696,1.27992,1.27439,1.27625
2019-11-13,1.27615,1.27627,1.26926,1.27203
2019-11-14,1.27201,1.27367,1.26739,1.27289
2019-11-15,1.2729,1.27847,1.27257,1.27717
2019-11-18,1.27812,1.28601,1.27733,1.28135
2019-11-19,1.28162,1.28476,1.27907,1.28083
2019-11-20,1.2806,1.28354,1.27668,1.28034
2019-11-21,1.28059,1.28605,1.27873,1.2819
2019-11-22,1.28193,1.28517,1.27716,1.28014
2019-11-25,1.28242,1.28788,1.27985,1.2858
2019-11-26,1.28566,1.28721,1.28051,1.28317
2019-11-27,1.28318,1.29366,1.28043,1.29326
2019-11-28,1.29308,1.29405,1.28834,1.289
2019-11-29,1.28916,1.29411,1.28784,1.29338
2019-12-02,1.29119,1.29308,1.28187,1.2832
2019-12-03,1.28314,1.28666,1.28052,1.28258
2019-12-04,1.28271,1.29696,1.28094,1.29553
2019-12-05,1.29549,1.30157,1.29443,1.29947
2019-12-06,1.29953,1.3013,1.29508,1.30074
2019-12-09,1.3007,1.30571,1.2976,1.29829
2019-12-10,1.29829,1.30035,1.29009,1.29193
2019-12-11,1.29175,1.30006,1.29094,1.29701
2019-12-12,1.29694,1.33114,1.28793,1.32573
2019-12-13,1.32574,1.32978,1.30812,1.31324
2019-12-16,1.31235,1.3199,1.30452,1.30638
2019-12-17,1.30645,1.30732,1.28493,1.28679
2019-12-18,1.28676,1.28784,1.28113,1.28263
2019-12-19,1.28254,1.28721,1.27119,1.27262
2019-12-20,1.27223,1.28335,1.27223,1.27659
2019-12-23,1.2766,1.27877,1.26635,1.27067
2019-12-24,1.27041,1.27271,1.26939,1.27054
2019-12-26,1.27122,1.27669,1.27036,1.27548
2019-12-27,1.27548,1.2797,1.27206,1.27439
2019-12-30,1.27478,1.27701,1.26934,1.27143
2019-12-31,1.27096,1.28522,1.26873,1.28305
2020-01-02,1.28175,1.28432,1.27503,1.27658
2020-01-03,1.27635,1.27795,1.26854,1.27097
2020-01-06,1.2696,1.27641,1.26898,1.27587
2020-01-07,1.27588,1.2802,1.27226,1.27357
